,state,abortion_sentiment,blm_sentiment,covid_sentiment,economy_sentiment,healthcare_sentiment,immigrant_sentiment,lgbtq_sentiment,Abbreviation
0,alabama,-0.3769499706650228,-0.1952770463255948,-0.2868559934309181,-0.3255188680450041,-0.3618585327340813,-0.3877462147246096,-0.1939954028417498,AL
1,arkansas,-0.4372505013493803,-0.2268259850366145,-0.2698402587073516,-0.4125203437996457,-0.3336396934545388,-0.1526377779913359,-0.158847536902252,AR
2,california,-0.3263067149139028,0.0026318061626224,-0.0504726894726392,0.0604475966299339,-0.1509584150701577,-0.2375241379883655,0.0222650260592882,CA
3,colorado,-0.3098368902593135,-0.1168617168133207,-0.1473372299145212,-0.2412846053056159,-0.3440460403059043,-0.2924423584579758,0.1131177515037788,CO
4,connecticut,-0.4846164282064912,-0.475845190747541,-0.1514202321665013,-0.2060237114778251,-0.1829604018538696,-0.3336840148517338,-0.3886990767495338,CT
5,delaware,-0.4712062697918688,-0.3574740444630209,-0.2821071482401048,-0.2555179929536393,-0.3924206235072948,-0.4027029183629441,0.1421132218753192,DE
6,georgia,-0.5122420359546416,-0.2941881699733576,-0.285018133033629,-0.3179405608778596,-0.3113536397564669,-0.5588368745069836,-0.2343345390840837,GA
7,hawaii,-0.3132049475513464,-0.3933982086832975,-0.2369975488184996,-0.2192265190524683,-0.2083488034195061,-0.2236501648360958,0.0726618135819967,HI
8,idaho,-0.4322741996935185,-0.3262307296502284,-0.3595974975279463,-0.3673006657836506,-0.3392450201745127,-0.4127858102187832,-0.5666493317910604,ID
9,indiana,-0.5008306875225137,-0.531927619941062,-0.3298052948543932,-0.4030139070614756,-0.405178596323546,-0.4348836034210653,-0.3852321012098281,IN
10,iowa,-0.4630629430254176,-0.4910550156192293,-0.28987648268549,-0.3637118170799888,-0.3359650486719618,-0.5854733853872225,-0.3556082834400516,IA
11,kentucky,-0.5101735872807206,-0.650531402985155,-0.2628292263422993,-0.2893978594243526,-0.3599462391709702,-0.3678105349983731,-0.5007444528016177,KY
12,louisiana,-0.3969739219710757,-0.4690645289154014,-0.3490157293652141,-0.3568830283609915,-0.3714093645684451,-0.2046848343685269,0.2720203985293359,LA
13,maine,-0.4774764080574176,-0.2622026244945207,-0.2724457830332913,-0.2738906293871561,-0.360452438079375,-0.3451087861684205,-0.0669297640331946,ME
14,michigan,-0.5098741217872297,-0.4466690775949691,-0.3681243325782279,-0.4466409322550042,-0.2597512955309327,-0.4920713201398659,-0.1046102729471813,MI
15,montana,-0.4958777109288281,-0.2213584876859311,-0.2109836530694584,-0.2241627446763968,-0.2028010575663208,-0.5237995613496969,0.0220111782352129,MT
16,nebraska,-0.5841534266390475,-0.5966620326042176,-0.3109349316515251,-0.2530244076507495,-0.4063927936957078,-0.331015208172142,-0.5556599122506601,NE
17,nevada,-0.7742593788875723,0.0673383346122489,-0.1224105973157856,-0.2875504274397801,-0.2433596481120467,0.1444278880460373,0.3222236952611378,NV
18,newmexico,-0.2662833281839736,0.3466032433874753,-0.210684238407589,-0.4097422905270284,-0.3006422537597802,-0.3488666565250285,0.6690489090979099,NM
19,northcarolina,-0.5024227727293283,-0.4917803769948714,-0.3108689119958236,-0.3326541421797678,-0.3320554802098476,-0.489520197154544,-0.2781907378150214,NC
20,ohio,-0.4806333248779749,-0.3570459958548858,-0.3025993375238233,-0.3585031882915587,-0.2923924406222759,-0.4804828492649496,-0.264291182743365,OH
21,oklahoma,-0.4325612398761234,-0.3456123986542009,-0.4321987651230098,-0.2341546223987613,-0.3427618965897654,-0.2134522334578976,-0.3420016781234556,OK
22,pennsylvania,-0.4712226978134389,-0.4950152864315079,-0.3240993411613608,-0.4396547841253354,-0.3298599179443363,-0.3465953161611276,-0.3611512576211083,PA
23,rhodeisland,-0.5195637091787325,-0.4659149157977175,-0.2511182900745627,-0.4019215443932368,-0.1047727050971944,-0.2352475495878346,-0.2013615910360153,RI
24,southdakota,-0.6485707142868558,-0.4328052933840828,-0.275647463879284,-0.2937824045647086,-0.2056816270092403,-0.2145133087509556,-0.1655563594773411,SD
25,tennessee,-0.5836464776036988,-0.5163523537947157,-0.3130175299220278,-0.2345528278208563,-0.4799471208521472,-0.4112282404139466,-0.3171984632737445,TN
26,texas,-0.5182949869488119,-0.272856745522655,-0.2912610575783691,-0.2419502888607497,-0.3652478377739658,-0.3762970575734882,-0.2725977736116886,TX
27,utah,-0.3792011795587306,0.0324215131487785,-0.2740249088149771,-0.1537908509432305,-0.1593649645929234,-0.0993123383807023,0.0848178589977503,UT
28,virginia,-0.4376123711355862,-0.5118082594828717,-0.0382455952927629,-0.3642706604647174,-0.24412407606344,-0.4010569830771583,0.1986314282958744,VA
29,washington,-0.6002843358525725,-0.4328437975642925,-0.2625872122603346,-0.2235858924819954,-0.2092605534754202,-0.4653524002139507,-0.5590659007430077,WA
30,westvirginia,-0.4645903336518235,-0.2740077037636826,-0.0799556812797079,-0.1614407424460585,-0.2955389978572321,0.0784278026209818,-0.0125822943526429,WV
31,alaska,-0.3901470893835624,-0.0930579725356228,-0.2373556783472253,-0.2310471055819683,-0.2604049430453526,-0.3756492245138135,-0.4241022681922055,AK
32,arizona,-0.6560388373411619,-0.036374193189467,-0.158539413298261,-0.2319059103148303,-0.2749506416847141,-0.3898988722135475,-0.1124959240357081,AZ
33,florida,-0.4843666483783009,-0.4825829740488928,-0.2889808822379184,-0.3823669026659663,-0.3995787147269118,-0.5241021605241181,-0.1971006313728731,FL
34,illinois,-0.3109589463358631,-0.6155779909915966,-0.328522496272733,-0.3203856824045214,-0.3290033308349974,-0.4761984837398129,-0.2553320478552891,IL
35,kansas,-0.4703268046819498,-0.0896368210620068,-0.1939001331880966,-0.2969131666604697,-0.3062519820200072,-0.393420125996321,0.2239012298055161,KS
36,maryland,-0.3753141155974431,-0.3399610603477501,-0.0609444294923203,-0.2433516727673986,-0.2184799024555281,-0.4156571284832038,-0.2148278188287166,MD
37,massachusetts,-0.6010725281426105,-0.4324520150227333,-0.2475335921328791,-0.2148370469448463,-0.1799196560067839,-0.3122901681474306,0.3663428854067009,MA
38,minnesota,-0.4411191405512535,-0.4404601403946905,-0.1986648378402853,-0.0955950987555643,-0.2299748908777341,-0.3169809926952937,-0.1576292861520854,MN
39,mississippi,-0.4169602562567015,-0.1302830786075232,-0.2967123641715177,-0.2579091023276957,-0.3082539027439799,-0.3813835979712941,-0.1290413396699088,MS
40,missouri,-0.544794833342644,-0.4875697431564331,-0.2599444739994883,-0.4852600391135196,-0.4817963079093701,-0.436864064348755,-0.1000134288763799,MO
41,newhampshire,-0.263634832862478,-0.4075700074236914,-0.2536091910777467,-0.3108416806306594,-0.244008770301504,-0.4112062355703559,-0.2469915948675934,NH
42,newjersey,-0.4705108043642557,-0.3530648482887304,-0.1753952974914122,-0.2797196593190013,-0.2513149237491513,-0.3501849876127484,-0.3797351766952092,NJ
43,newyork,-0.3351392222493534,-0.0425923466682434,-0.2985092305277029,-0.1455599563579036,-0.3303192917017206,-0.4453326958263742,-0.1570413187146186,NY
44,northdakota,-0.5208446108893062,-0.1904849849515042,-0.3526979060289827,-0.2386873596540046,-0.340823838532528,-0.4501411603382783,-0.4595965383908687,ND
45,oregon,-0.4089354377065622,-0.4208087546162594,-0.3048826680280966,-0.2956989504347857,-0.3370682520832948,-0.4299791274493017,-0.0049948170363345,OR
46,southcarolina,-0.5856351383306362,-0.4449807877500902,-0.2480187712036201,-0.3196168045850064,-0.4053650898855812,-0.3443861361325642,-0.7058238259236292,SC
47,vermont,-0.4453724161796631,-0.3415068540932322,-0.1333755473594834,-0.1971042973998853,-0.2136190775005559,-0.4136961071150643,-0.3193813316838842,VT
48,wisconsin,-0.5155731411844864,-0.4573347620354823,-0.3824439277820418,-0.3482873880936668,-0.3384431053779467,-0.3960557565769778,-0.1494164587937744,WI
49,wyoming,-0.3378554607060418,0.4624836452650112,-0.2191107994111566,-0.1675274268094859,-0.3715390456291101,-0.1178748963715194,-0.1729510096432287,WY
