State,Abbreviation,FIPS Code,young_population,income,education,adult_population,male_population,female_population
Alabama,AL,1,885031,50536,845772,1218746,2359355,2516895.0
alaska,AK,2,148171,77640,142019,207790,384915,352153.0
arizona,AZ,4,1320500,58945,1394526,1760691,3504509,3545790.0
Arkansas,AR,5,543996,47597,463236,744414,1471760,1527610.0
California,CA,6,7615269,75235,8980726,10527413,19526298,19757199.0
Colorado,CO,8,1066669,72331,1565134,1550686,2823201,2787148.0
Connecticut,CT,9,637965,78444,975465,923931,1744245,1830829.0
Delaware,DE,10,167750,68287,214138,239635,462890,494358.0
florida,FL,12,3504562,55660,4471701,5288301,10220813,10680823.0
Georgia,GA,13,1967121,58700,2157616,2658195,5062096,5341751.0
Hawaii,HI,15,252184,81275,327466,373867,713260,708834.0
Idaho,ID,16,312213,55785,307537,426278,861025,856725.0
illinois,IL,17,2338080,65886,3010025,3344043,6272172,6498459.0
Indiana,IN,18,1242082,56303,1172156,1690634,3284846,3380857.0
Iowa,IA,19,576178,60523,597831,788652,1558536,1580972.0
kansas,KS,20,548478,59597,635070,729768,1450697,1459955.0
Kentucky,KY,21,805431,50589,731082,1142152,2190922,2258130.0
Louisiana,LA,22,868492,49469,753585,1188419,2278986,2385376.0
Maine,ME,23,210872,57918,309888,346512,653942,681550.0
maryland,MD,24,1065087,84805,1662724,1568500,2917613,3101235.0
massachusetts,MA,25,1319278,81215,2089065,1798102,3324207,3526346.0
Michigan,MI,26,1833898,57144,1985170,2549699,4905240,5060025.0
minnesota,MN,27,977388,71306,1359167,1465203,2770873,2792505.0
mississippi,MS,28,558431,45081,435153,732754,1447873,1536545.0
missouri,MO,29,1103909,55461,1212562,1551407,2995725,3109185.0
Montana,MT,30,185155,54970,231669,267431,528573,522076.0
Nebraska,NE,31,353263,61439,399225,483102,954950,959621.0
Nevada,NV,32,522631,60365,505691,800724,1491294,1481088.0
newhampshire,NH,33,235122,76768,355737,361682,667689,680435.0
newjersey,NJ,34,1509290,82545,2440951,2333716,4335032,4543471.0
NewMexico,NM,35,383879,49754,383519,521290,1036190,1056264.0
newyork,NY,36,3656783,68486,4985807,5131478,9501001,10071318.0
NorthCarolina,NC,37,1886209,54602,2182853,2604075,4996638,5268238.0
northdakota,ND,38,159896,64894,148757,200358,387555,369162.0
Ohio,OH,39,2087335,56602,2255326,2982557,5711765,5943632.0
Oklahoma,OK,40,737188,52919,661509,991532,1949528,1983342.0
oregon,OR,41,728236,62818,975920,1092233,2047338,2082465.0
Pennsylvania,PA,42,2266866,61744,2814285,3311246,6265113,6526417.0
RhodeIsland,RI,44,207117,67167,252118,274907,513792,543439.0
southcarolina,SC,45,908419,53199,969279,1246521,2435472,2585334.0
SouthDakota,SD,46,157909,58275,165080,220709,438946,431692.0
Tennessee,TN,47,1219908,53320,1254145,1716162,3273278,3436078.0
Texas,TX,48,5496329,61874,5420676,7308497,14034009,14226847.0
Utah,UT,49,659287,71621,620505,751303,1558868,1537980.0
vermont,VT,50,114692,61973,167483,159504,308097,316216.0
Virginia,VA,51,1558742,74222,2240360,2223673,4159173,4295290.0
Washington,WA,53,1358405,73775,1837612,2009162,3703301,3700806.0
WestVirginia,WV,54,302920,46711,265398,466908,898578,918727.0
wisconsin,WI,55,1029678,61747,1191329,1509620,2879894,2910822.0
wyoming,WY,56,104042,64049,106855,153333,296202,284822.0